speciesId,species_legacy_id,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution,validSpeciesId,taxonStatus
26398,19774,urn:lsid:nmbe.ch:spidersp:018080,Lycosidae,Hogna,pardalina,,Bertkau,1880,1,Brazil,,VALID
26399,19775,urn:lsid:nmbe.ch:spidersp:018081,Lycosidae,Hogna,parvagenitalia,,Guy,1966,1,"Canary Is.",,VALID
26400,19776,urn:lsid:nmbe.ch:spidersp:018082,Lycosidae,Hogna,patens,,Roewer,1959,0,Zimbabwe,,VALID
26401,19777,urn:lsid:nmbe.ch:spidersp:018083,Lycosidae,Hogna,patricki,,Purcell,1903,1,"Southern Africa",,VALID
26402,19778,urn:lsid:nmbe.ch:spidersp:018084,Lycosidae,Hogna,pauciguttata,,Roewer,1959,0,Mozambique,,VALID
26403,19779,urn:lsid:nmbe.ch:spidersp:018086,Lycosidae,Hogna,persimilis,,Banks,1898,1,Mexico,,VALID
26404,19780,urn:lsid:nmbe.ch:spidersp:018087,Lycosidae,Hogna,perspicua,,Roewer,1959,0,Ethiopia,,VALID
26405,19781,urn:lsid:nmbe.ch:spidersp:018088,Lycosidae,Hogna,petersi,,Karsch,1878,1,Mozambique,,VALID
26406,19782,urn:lsid:nmbe.ch:spidersp:018089,Lycosidae,Hogna,petiti,,Simon,1877,1,Congo,,VALID
26407,19783,urn:lsid:nmbe.ch:spidersp:018090,Lycosidae,Hogna,placata,,Roewer,1959,0,Lesotho,,VALID
26408,19784,urn:lsid:nmbe.ch:spidersp:018091,Lycosidae,Prolycosides,planithoracis,,Mello-Leitão,1938,1,Argentina,25804,SYNONYM
26409,19785,urn:lsid:nmbe.ch:spidersp:018092,Lycosidae,Hogna,posticata,,Banks,1904,1,USA,,VALID
26410,19786,urn:lsid:nmbe.ch:spidersp:018093,Lycosidae,Hogna,principum,,Simon,1909,1,"São Tomé and Príncipe",,VALID
26411,19787,urn:lsid:nmbe.ch:spidersp:018094,Lycosidae,Hogna,propria,,Roewer,1959,0,Tanzania,,VALID
26412,19788,urn:lsid:nmbe.ch:spidersp:018095,Lycosidae,Hogna,proterva,,Roewer,1959,0,Congo,,VALID
26413,19789,urn:lsid:nmbe.ch:spidersp:018096,Lycosidae,Hogna,pseudoceratiola,,Wallace,1942,1,USA,,VALID
26414,19790,urn:lsid:nmbe.ch:spidersp:018097,Lycosidae,Hogna,pseudoradiata,,Guy,1966,1,Morocco?,,VALID
26415,19791,urn:lsid:nmbe.ch:spidersp:018098,Lycosidae,Hogna,pulchella,,Keyserling,1877,1,Colombia,,VALID
26416,19792,urn:lsid:nmbe.ch:spidersp:018099,Lycosidae,Hogna,pulla,,"Bösenberg & Lenz",1895,1,"East Africa",,VALID
26417,19793,urn:lsid:nmbe.ch:spidersp:018100,Lycosidae,Hogna,pulloides,,Strand,1908,1,Ethiopia,,VALID
26418,19794,urn:lsid:nmbe.ch:spidersp:018101,Lycosidae,Hogna,radiata,,Latreille,1817,1,"Europe, Turkey, Caucasus, Russia (Europe to South Siberia), Middle East, Iran, Kazakhstan, Central Asia",,VALID
26420,19796,urn:lsid:nmbe.ch:spidersp:018103,Lycosidae,Hogna,radiata,minor,Simon,1876,1,Mediterranean,,VALID
26421,19797,urn:lsid:nmbe.ch:spidersp:018104,Lycosidae,Hogna,raffrayi,,Simon,1876,1,"East Africa, Zanzibar",,VALID
26422,19798,urn:lsid:nmbe.ch:spidersp:018105,Lycosidae,Hogna,reducta,,Bryant,1942,1,"Virgin Is.",,VALID
26423,19799,urn:lsid:nmbe.ch:spidersp:018106,Lycosidae,Hogna,reimoseri,,Roewer,1959,0,Ethiopia,,VALID
26424,19800,urn:lsid:nmbe.ch:spidersp:018107,Lycosidae,Hogna,rizali,,"Barrion & Litsinger",1995,0,Philippines,,VALID
26425,19801,urn:lsid:nmbe.ch:spidersp:018108,Lycosidae,Hogna,rubetra,,Schenkel,1963,1,China,,VALID
26426,19802,urn:lsid:nmbe.ch:spidersp:018109,Lycosidae,Hogna,rubromandibulata,,"O. Pickard-Cambridge",1885,1,"Pakistan or India",,VALID
26427,19803,urn:lsid:nmbe.ch:spidersp:018380,Lycosidae,Hogna,rufimanoides,,Strand,1908,1,"Peru, Bolivia",,VALID
26428,19804,urn:lsid:nmbe.ch:spidersp:018110,Lycosidae,Hogna,ruricolaris,,Simon,1910,1,Botswana,,VALID
26429,19805,urn:lsid:nmbe.ch:spidersp:018111,Lycosidae,Hogna,sanctithomasi,,Petrunkevitch,1926,1,"St. Thomas",,VALID
26430,19806,urn:lsid:nmbe.ch:spidersp:018112,Lycosidae,Hogna,sanctivincenti,,Simon,1898,1,"Virgin Is., St. Vincent, Anguilla?",,VALID
26431,19807,urn:lsid:nmbe.ch:spidersp:018113,Lycosidae,Hogna,sanisabel,,Strand,1909,1,Uruguay,,VALID
26432,19808,urn:lsid:nmbe.ch:spidersp:018114,Lycosidae,Trochosa,sansibarensis,,Strand,1907,1,"Tanzania (Zanzibar)",26175,SYNONYM
26433,19809,urn:lsid:nmbe.ch:spidersp:018115,Lycosidae,Hogna,schmitzi,,Wunderlich,1992,0,Madeira,26367,SYNONYM
26434,19810,urn:lsid:nmbe.ch:spidersp:018116,Lycosidae,Hogna,schreineri,,Purcell,1903,1,"Namibia, South Africa",,VALID
26435,19811,urn:lsid:nmbe.ch:spidersp:018117,Lycosidae,Hogna,schultzei,,Simon,1910,1,Botswana,,VALID
26436,19812,urn:lsid:nmbe.ch:spidersp:018119,Lycosidae,Hogna,senilis,,"L. Koch",1877,1,"Australia (New South Wales)",,VALID
26437,19813,urn:lsid:nmbe.ch:spidersp:018120,Lycosidae,Hogna,simoni,,Roewer,1959,0,"Cameroon, DR Congo, Angola, South Africa",,VALID
26438,19814,urn:lsid:nmbe.ch:spidersp:019114,Lycosidae,Hogna,simplex,,"L. Koch",1882,1,"Spain (Balearic Is.)",,VALID
26439,19815,urn:lsid:nmbe.ch:spidersp:018121,Lycosidae,Hogna,sinaia,,Roewer,1959,0,Egypt,,VALID
26440,19816,urn:lsid:nmbe.ch:spidersp:042098,Lycosidae,Hogna,snodgrassi,,Banks,1902,0,Galapagos,,VALID
26441,19817,urn:lsid:nmbe.ch:spidersp:018123,Lycosidae,Hogna,spenceri,,Pocock,1898,1,"Rwanda, South Africa, Eswatini",,VALID
26442,19818,urn:lsid:nmbe.ch:spidersp:018124,Lycosidae,Hogna,sternalis,,Bertkau,1880,1,Brazil,,VALID
26443,19819,urn:lsid:nmbe.ch:spidersp:018125,Lycosidae,Hogna,stictopyga,,Thorell,1895,1,"India, Myanmar, Singapore",,VALID
26444,19820,urn:lsid:nmbe.ch:spidersp:018126,Lycosidae,Hogna,straeleni,,Roewer,1959,0,"Congo, Rwanda, Tanzania",,VALID
26445,19821,urn:lsid:nmbe.ch:spidersp:018127,Lycosidae,Hogna,subaustralis,,Strand,1908,1,Peru,,VALID
26446,19822,urn:lsid:nmbe.ch:spidersp:018128,Lycosidae,Hogna,subligata,,"L. Koch",1877,1,"Australia (Queensland)",,VALID
26447,19823,urn:lsid:nmbe.ch:spidersp:018129,Lycosidae,Tasmanicosa,subrufa,,Karsch,1878,1,"Australia (South Australia, New South Wales, Victoria, Tasmania)",,VALID
26448,19824,urn:lsid:nmbe.ch:spidersp:018130,Lycosidae,Hogna,subtilis,,Bryant,1942,1,"Virgin Is.",,VALID
26449,19825,urn:lsid:nmbe.ch:spidersp:018131,Lycosidae,Hogna,suprenans,,Chamberlin,1924,1,USA,,VALID
26450,19826,urn:lsid:nmbe.ch:spidersp:018132,Lycosidae,Hogna,swakopmundensis,,Strand,1916,1,Namibia,,VALID
26451,19827,urn:lsid:nmbe.ch:spidersp:018133,Lycosidae,Arctosa,tantilla,,Bryant,1948,0,"Dominican Rep.",,VALID
26452,19828,urn:lsid:nmbe.ch:spidersp:018134,Lycosidae,Hogna,ternetzi,,Mello-Leitão,1939,1,Paraguay,,VALID
26453,19829,urn:lsid:nmbe.ch:spidersp:018135,Lycosidae,Hogna,teteana,,Roewer,1959,0,Mozambique,,VALID
26454,19830,urn:lsid:nmbe.ch:spidersp:018136,Lycosidae,Hogna,thetis,,Simon,1909,1,"São Tomé and Príncipe",,VALID
26455,19831,urn:lsid:nmbe.ch:spidersp:018137,Lycosidae,Hogna,tigana,,"Gertsch & Wallace",1935,1,USA,,VALID
26456,19832,urn:lsid:nmbe.ch:spidersp:018138,Lycosidae,Hogna,timuqua,,Wallace,1942,1,USA,,VALID
26457,19833,urn:lsid:nmbe.ch:spidersp:018139,Lycosidae,Hogna,tivior,,"Chamberlin & Ivie",1936,1,Panama,,VALID
26458,19834,urn:lsid:nmbe.ch:spidersp:018140,Lycosidae,Hogna,tlaxcalana,,"Gertsch & Davis",1940,1,Mexico,,VALID
26459,19835,urn:lsid:nmbe.ch:spidersp:018141,Lycosidae,Hogna,transvaalica,,Simon,1898,1,"Botswana, South Africa",,VALID
26460,19836,urn:lsid:nmbe.ch:spidersp:018142,Lycosidae,Hogna,travassosi,,Mello-Leitão,1939,1,Brazil,,VALID
26461,19837,urn:lsid:nmbe.ch:spidersp:018143,Lycosidae,Hogna,truculenta,,"O. Pickard-Cambridge",1876,1,Egypt,,VALID
26462,19838,urn:lsid:nmbe.ch:spidersp:018144,Lycosidae,Hogna,trunca,,"Yin, Bao & Zhang",1996,0,"China, Japan",,VALID
26463,19839,urn:lsid:nmbe.ch:spidersp:018145,Lycosidae,Hogna,unicolor,,Roewer,1959,0,"Mozambique, South Africa",,VALID
26464,19840,urn:lsid:nmbe.ch:spidersp:018147,Lycosidae,Hogna,vachoni,,Caporiacco,1954,0,"French Guiana",,VALID
26465,19841,urn:lsid:nmbe.ch:spidersp:018148,Lycosidae,Prolycosides,variolosa,,Mello-Leitão,1941,1,Argentina,25804,SYNONYM
26466,19842,urn:lsid:nmbe.ch:spidersp:018149,Lycosidae,Hogna,ventrilineata,,Caporiacco,1954,0,"French Guiana",,VALID
26467,19843,urn:lsid:nmbe.ch:spidersp:018150,Lycosidae,Hogna,volxemi,,Bertkau,1880,1,Brazil,,VALID
26468,19844,urn:lsid:nmbe.ch:spidersp:018151,Lycosidae,Hogna,vulpina,,"C. L. Koch",1847,1,Brazil,,VALID
26469,19845,urn:lsid:nmbe.ch:spidersp:018152,Lycosidae,Hogna,wallacei,,"Chamberlin & Ivie",1944,1,USA,,VALID
26470,19846,urn:lsid:nmbe.ch:spidersp:018153,Lycosidae,Hogna,watsoni,,Gertsch,1934,1,USA,,VALID
26471,19847,urn:lsid:nmbe.ch:spidersp:018154,Lycosidae,Hogna,willeyi,,Pocock,1898,1,"Papua New Guinea (New Britain)",,VALID
26472,19848,urn:lsid:nmbe.ch:spidersp:018155,Lycosidae,Hogna,yauliensis,,Strand,1908,1,Peru,,VALID
26473,19849,urn:lsid:nmbe.ch:spidersp:018156,Lycosidae,Hogna,zorodes,,Mello-Leitão,1942,1,Argentina,,VALID
26474,19850,urn:lsid:nmbe.ch:spidersp:018157,Lycosidae,Hogna,zuluana,,Roewer,1959,0,"South Africa",,VALID
26475,19851,urn:lsid:nmbe.ch:spidersp:018158,Lycosidae,Hognoides,ukrewea,,Roewer,1960,0,Tanzania,,VALID
26477,19853,urn:lsid:nmbe.ch:spidersp:018160,Lycosidae,Hyaenosa,clarki,,Hogg,1912,1,China,,VALID
26478,19854,urn:lsid:nmbe.ch:spidersp:018161,Lycosidae,Hogna,effera,,"O. Pickard-Cambridge",1872,1,"Cyprus, Turkey, Egypt, Israel, Lebanon, Syria, Yemen (Sokotra), Saudi Arabia, United Arab Emirates, Iraq, Iran",,VALID
26479,19855,urn:lsid:nmbe.ch:spidersp:018162,Lycosidae,Arctosa,invasa,,Savelyeva,1972,1,Kazakhstan,25817,SYNONYM
26480,19856,urn:lsid:nmbe.ch:spidersp:018163,Lycosidae,Hyaenosa,ruandana,,Roewer,1960,0,Rwanda,,VALID
26481,19857,urn:lsid:nmbe.ch:spidersp:018164,Lycosidae,Hyaenosa,strandi,,Caporiacco,1940,0,Ethiopia,,VALID
26482,19858,urn:lsid:nmbe.ch:spidersp:018165,Lycosidae,Hygrolycosa,alpigena,,"Yu & Song",1988,0,China,,VALID
26483,19859,urn:lsid:nmbe.ch:spidersp:018166,Lycosidae,Hygrolycosa,rubrofasciata,,Ohlert,1865,1,"Europe, Russia (Europe to South Siberia)",,VALID
26484,19860,urn:lsid:nmbe.ch:spidersp:018167,Lycosidae,Hygrolycosa,strandi,,Caporiacco,1948,0,Greece,,VALID
26485,19861,urn:lsid:nmbe.ch:spidersp:018168,Lycosidae,Hygrolycosa,umidicola,,Tanaka,1978,0,"Korea, Japan",,VALID
26486,19862,urn:lsid:nmbe.ch:spidersp:019270,Lycosidae,Kangarosa,alboguttulata,,"L. Koch",1878,1,"Australia (Queensland, New South Wales)",,VALID
26487,19863,urn:lsid:nmbe.ch:spidersp:043109,Lycosidae,Kangarosa,focarius,,Framenau,2010,0,"Australia (Victoria)",,VALID
26488,19864,urn:lsid:nmbe.ch:spidersp:043110,Lycosidae,Kangarosa,ludwigi,,Framenau,2010,0,"Australia (Queensland, New South Wales)",,VALID
26489,19865,urn:lsid:nmbe.ch:spidersp:043111,Lycosidae,Kangarosa,nothofagus,,Framenau,2010,0,"Australia (Victoria)",,VALID
